3706|1/11/2017 4:40:02 PM +07:00|Random.ActivePower_kW
22302|1/11/2017 4:40:05 PM +07:00|Random.ActivePower_kW
15692|1/11/2017 4:40:08 PM +07:00|Random.ActivePower_kW
5144|1/11/2017 4:40:11 PM +07:00|Random.ActivePower_kW
27879|1/11/2017 4:40:14 PM +07:00|Random.ActivePower_kW
25651|1/11/2017 4:40:17 PM +07:00|Random.ActivePower_kW
8879|1/11/2017 4:40:20 PM +07:00|Random.ActivePower_kW
19946|1/11/2017 4:40:23 PM +07:00|Random.ActivePower_kW
8288|1/11/2017 4:40:26 PM +07:00|Random.ActivePower_kW
22860|1/11/2017 4:40:29 PM +07:00|Random.ActivePower_kW
25390|1/11/2017 4:40:31 PM +07:00|Random.ActivePower_kW
5354|1/11/2017 4:40:34 PM +07:00|Random.ActivePower_kW
25156|1/11/2017 4:40:37 PM +07:00|Random.ActivePower_kW
4293|1/11/2017 4:40:40 PM +07:00|Random.ActivePower_kW
508|1/11/2017 4:40:43 PM +07:00|Random.ActivePower_kW
15271|1/11/2017 4:40:46 PM +07:00|Random.ActivePower_kW
4550|1/11/2017 4:40:49 PM +07:00|Random.ActivePower_kW
9793|1/11/2017 4:40:52 PM +07:00|Random.ActivePower_kW
28621|1/11/2017 4:40:55 PM +07:00|Random.ActivePower_kW
24466|1/11/2017 4:40:59 PM +07:00|Random.ActivePower_kW
